nohup: ignoring input
wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /home/sagemaker-user/Molecular-Architect-RL/src/wandb/offline-run-20260624_165347-jsy947zl
wandb: View this run in the terminal with `wandb leet`
[0585] R=0.562 (std=2.124)  valid=1.000  uniq=0.625  div=0.134  kl=0.0000  clip=0.000  ev=0.005  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0590] R=0.562 (std=2.124)  valid=1.000  uniq=0.625  div=0.243  kl=0.0000  clip=0.000  ev=-0.017  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0595] R=0.562 (std=2.124)  valid=1.000  uniq=0.625  div=0.000  kl=0.0000  clip=0.000  ev=0.033  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0600] R=0.562 (std=2.124)  valid=1.000  uniq=0.625  div=0.417  kl=0.0001  clip=0.000  ev=-0.027  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0605] R=0.572 (std=2.142)  valid=1.000  uniq=0.625  div=0.577  kl=0.0000  clip=0.000  ev=0.052  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0610] R=0.576 (std=2.150)  valid=1.000  uniq=0.625  div=0.766  kl=0.0000  clip=0.000  ev=-0.002  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0615] R=0.585 (std=2.168)  valid=1.000  uniq=0.625  div=0.823  kl=0.0000  clip=0.000  ev=0.035  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0620] R=0.585 (std=2.168)  valid=1.000  uniq=0.625  div=0.665  kl=0.0001  clip=0.000  ev=0.004  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0625] R=0.562 (std=2.124)  valid=1.000  uniq=0.750  div=0.372  kl=0.0000  clip=0.000  ev=0.013  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0630] R=0.562 (std=2.124)  valid=1.000  uniq=0.875  div=0.368  kl=0.0001  clip=0.000  ev=-0.096  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0635] R=0.567 (std=2.133)  valid=1.000  uniq=0.875  div=0.591  kl=0.0000  clip=0.000  ev=0.013  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
